Frame_Index,Frame_Name,Predicted_Speed_m/s
620,video_frame_000620.png,0.653974
621,video_frame_000621.png,0.670872
622,video_frame_000622.png,0.627179
623,video_frame_000623.png,0.606086
624,video_frame_000624.png,0.614767
625,video_frame_000625.png,0.623939
626,video_frame_000626.png,0.636624
627,video_frame_000627.png,0.745283
628,video_frame_000628.png,0.861562
629,video_frame_000629.png,0.914054
630,video_frame_000630.png,0.916858
631,video_frame_000631.png,0.897859
632,video_frame_000632.png,0.893797
633,video_frame_000633.png,0.918238
634,video_frame_000634.png,0.913381
635,video_frame_000635.png,0.940296
636,video_frame_000636.png,0.941909
637,video_frame_000637.png,0.894327
638,video_frame_000638.png,0.811522
639,video_frame_000639.png,0.733131
640,video_frame_000640.png,0.696620
641,video_frame_000641.png,0.703865
642,video_frame_000642.png,0.743578
643,video_frame_000643.png,0.791721
644,video_frame_000644.png,0.897819
645,video_frame_000645.png,0.917275
646,video_frame_000646.png,0.899818
647,video_frame_000647.png,0.852953
648,video_frame_000648.png,0.802789
649,video_frame_000649.png,0.804101
650,video_frame_000650.png,0.806827
651,video_frame_000651.png,0.821971
652,video_frame_000652.png,0.870238
653,video_frame_000653.png,0.883883
654,video_frame_000654.png,0.811090
655,video_frame_000655.png,0.741905
656,video_frame_000656.png,0.724807
657,video_frame_000657.png,0.728812
658,video_frame_000658.png,0.737834
659,video_frame_000659.png,0.752419
660,video_frame_000660.png,0.807203
661,video_frame_000661.png,0.850830
662,video_frame_000662.png,0.810810
663,video_frame_000663.png,0.774296
664,video_frame_000664.png,0.746452
665,video_frame_000665.png,0.746975
666,video_frame_000666.png,0.762914
667,video_frame_000667.png,0.787471
668,video_frame_000668.png,0.814300
669,video_frame_000669.png,0.909945
670,video_frame_000670.png,1.010414
671,video_frame_000671.png,1.113637
672,video_frame_000672.png,1.240524
673,video_frame_000673.png,1.395321
674,video_frame_000674.png,1.572563
675,video_frame_000675.png,1.703003
676,video_frame_000676.png,1.797647
677,video_frame_000677.png,1.952671
678,video_frame_000678.png,2.042437
679,video_frame_000679.png,1.986124
680,video_frame_000680.png,1.721215
681,video_frame_000681.png,1.502550
682,video_frame_000682.png,1.311173
683,video_frame_000683.png,1.127849
684,video_frame_000684.png,1.024484
685,video_frame_000685.png,1.040103
686,video_frame_000686.png,1.053174
687,video_frame_000687.png,1.013495
688,video_frame_000688.png,0.868361
689,video_frame_000689.png,0.800652
690,video_frame_000690.png,0.760310
691,video_frame_000691.png,0.766572
692,video_frame_000692.png,0.797581
693,video_frame_000693.png,0.939570
694,video_frame_000694.png,1.320077
695,video_frame_000695.png,1.993874
696,video_frame_000696.png,3.667150
697,video_frame_000697.png,5.164017
698,video_frame_000698.png,10.067866
699,video_frame_000699.png,11.726303
700,video_frame_000700.png,12.187449
